                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1126,                0.00275,                0.01253,                 7.1758,              0.0033313,              0.0033313,              0.0033313
                      2,                 6.6219,                0.00914,                0.04437,                 7.1719,              0.0065547,              0.0065547,              0.0065547
                      3,                 5.7606,                0.09066,                0.23024,                 7.1537,              0.0096681,              0.0096681,              0.0096681
                      4,                 3.9805,                0.47142,                0.75237,                 6.9736,               0.009505,               0.009505,               0.009505
                      5,                  2.558,                0.74866,                0.94405,                 6.6951,               0.009505,               0.009505,               0.009505
                      6,                 1.8535,                0.85889,                0.98286,                  6.511,                0.00934,                0.00934,                0.00934
                      7,                 1.4974,                0.90109,                0.99079,                 6.4195,               0.009175,               0.009175,               0.009175
                      8,                 1.3046,                0.92046,                0.99373,                 6.3675,                0.00901,                0.00901,                0.00901
                      9,                 1.1697,                0.93031,                0.99469,                 6.3417,               0.008845,               0.008845,               0.008845
                     10,                 1.0794,                0.93485,                0.99546,                 6.3262,                0.00868,                0.00868,                0.00868
                     11,                 1.0081,                0.93766,                0.99591,                 6.3154,               0.008515,               0.008515,               0.008515
                     12,                0.95033,                 0.9415,                0.99604,                 6.3081,                0.00835,                0.00835,                0.00835
                     13,                 0.9043,                0.94297,                0.99616,                 6.3032,               0.008185,               0.008185,               0.008185
                     14,                0.86977,                0.94386,                0.99629,                 6.2985,                0.00802,                0.00802,                0.00802
                     15,                0.83517,                0.94591,                0.99642,                 6.2947,               0.007855,               0.007855,               0.007855
                     16,                0.80331,                0.94693,                0.99648,                 6.2901,                0.00769,                0.00769,                0.00769
                     17,                0.78765,                0.94776,                0.99655,                 6.2873,               0.007525,               0.007525,               0.007525
                     18,                0.75793,                 0.9491,                 0.9968,                 6.2848,                0.00736,                0.00736,                0.00736
                     19,                0.74013,                0.94968,                0.99712,                 6.2805,               0.007195,               0.007195,               0.007195
                     20,                0.71508,                0.95141,                0.99725,                 6.2779,                0.00703,                0.00703,                0.00703
