                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7923,                 5.7457,                 3.2839,                      0,                      0,                      0,                      0,                 3.3259,                 4.9212,                 3.5373,                      0,                      0,                      0
                      2,                 3.0083,                  5.478,                 3.4959,                      0,                      0,                      0,                      0,                 3.3211,                 4.9237,                 3.5357,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.1063,                 5.5037,                 3.5109,                      0,                      0,                      0,                      0,                 3.2992,                 4.9344,                 3.5337,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.7968,                   5.52,                 3.4876,                      0,                      0,                      0,                      0,                  3.289,                 4.9408,                 3.5305,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.6832,                 5.4474,                 3.1749,                      0,                      0,                      0,                      0,                 3.2829,                 4.9416,                 3.5391,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.2906,                  5.722,                 2.8986,                      0,                      0,                      0,                      0,                 3.2887,                 4.9531,                 3.5471,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.5669,                 5.3833,                 3.5025,                      0,                      0,                      0,                      0,                 3.2907,                 4.9578,                 3.5413,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.2309,                  5.503,                 3.7507,                      0,                      0,                      0,                      0,                 3.3052,                 4.9695,                 3.5434,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.9423,                  5.515,                 3.2928,                      0,                      0,                      0,                      0,                 3.3054,                 4.9743,                 3.5358,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.0381,                 5.5107,                 3.4315,                      0,                      0,                      0,                      0,                 3.3084,                 4.9882,                 3.5268,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.7578,                 5.3559,                 3.4439,                      0,                      0,                      0,                      0,                 3.3119,                 4.9905,                 3.5338,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.8282,                 5.3686,                  3.467,                      0,                      0,                      0,                      0,                 3.3105,                 4.9925,                 3.5277,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.0898,                 5.4861,                 3.5767,                      0,                      0,                      0,                      0,                 3.2921,                  4.992,                 3.5204,             1.2584e-05,             1.2584e-05,             1.2584e-05
