                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2562,                 2.7164,                 3.1661,                0.57038,                 0.4375,                0.45122,                0.17001,                  2.245,                 1.7199,                 2.0477,              0.0033273,              0.0033273,              0.0033273
                      2,                 2.0412,                 1.4782,                 1.8759,                  0.723,                0.57735,                0.63708,                0.28798,                 1.9668,                 1.2536,                 1.7328,              0.0066387,              0.0066387,              0.0066387
                      3,                 1.8901,                 1.3143,                 1.7182,                0.69576,                0.59068,                0.63042,                0.29646,                 1.9144,                 1.2568,                  1.694,               0.009928,               0.009928,               0.009928
                      4,                 1.8201,                 1.2112,                 1.6465,                0.75539,                0.63812,                0.71288,                0.35516,                 1.7333,                 1.1198,                 1.5651,               0.009901,               0.009901,               0.009901
                      5,                 1.7497,                 1.1153,                 1.5869,                0.77381,                0.64848,                0.74009,                0.38266,                 1.6694,                 1.0282,                 1.5011,               0.009901,               0.009901,               0.009901
                      6,                 1.7132,                 1.0734,                 1.5585,                0.79044,                0.67336,                 0.7573,                0.39642,                 1.6387,                  1.024,                  1.476,               0.009868,               0.009868,               0.009868
                      7,                 1.6831,                 1.0388,                 1.5268,                0.78872,                 0.7051,                0.78637,                0.41977,                   1.57,                0.98956,                 1.4346,               0.009835,               0.009835,               0.009835
                      8,                 1.6676,                 1.0158,                 1.5228,                0.76663,                0.65225,                0.73754,                 0.3895,                 1.6514,                 1.0544,                 1.4876,               0.009802,               0.009802,               0.009802
                      9,                 1.6419,                0.99276,                 1.5064,                0.80179,                0.73619,                0.80617,                0.43666,                 1.5676,                0.89788,                 1.4328,               0.009769,               0.009769,               0.009769
                     10,                 1.6319,                0.97137,                 1.4946,                0.80292,                0.71823,                0.80276,                0.43243,                 1.5701,                  0.922,                 1.4278,               0.009736,               0.009736,               0.009736
                     11,                 1.6228,                0.95965,                 1.4847,                0.80181,                0.71943,                0.79862,                0.43593,                 1.5653,                0.90274,                 1.4262,               0.009703,               0.009703,               0.009703
                     12,                  1.609,                0.95138,                 1.4775,                0.80257,                0.73836,                 0.8089,                0.44155,                 1.5523,                0.88779,                 1.4131,                0.00967,                0.00967,                0.00967
                     13,                  1.605,                0.93694,                 1.4659,                0.81458,                0.74344,                0.81823,                0.44394,                 1.5805,                0.87012,                 1.4243,               0.009637,               0.009637,               0.009637
                     14,                 1.5936,                0.92974,                  1.463,                0.79551,                0.75518,                0.82356,                0.44498,                 1.5619,                0.85673,                 1.4188,               0.009604,               0.009604,               0.009604
                     15,                 1.5902,                 0.9243,                 1.4644,                0.81929,                0.74047,                0.82301,                0.45829,                 1.5339,                0.84687,                 1.3999,               0.009571,               0.009571,               0.009571
                     16,                  1.576,                0.90874,                 1.4481,                0.80636,                0.76796,                0.83214,                0.45789,                 1.5354,                0.84082,                  1.403,               0.009538,               0.009538,               0.009538
                     17,                  1.573,                0.90327,                 1.4453,                0.82578,                0.75345,                0.82802,                0.45594,                 1.5554,                0.82337,                 1.4191,               0.009505,               0.009505,               0.009505
                     18,                 1.5744,                0.90328,                 1.4496,                 0.8052,                0.76243,                0.82975,                0.46796,                 1.4937,                0.82653,                 1.3846,               0.009472,               0.009472,               0.009472
